file_path,disposition,family,normalized_candidate_path
基于PSARMACD和RSI的多时间框架量化交易策略Multi-timeframe-Quantitative-Trading-Strategy-Based-on-PSAR-MACD-and-RSI.md,normalized_candidate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
动态RSI双均线买卖策略Dynamic-RSI-and-Dual-Moving-Average-Buy-Sell-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
均线回转反转策略Mean-Reversion-Reverse-Strategy-Based-on-Moving-Average.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
动态风险管理的均线交叉与布林带策略-Dynamic-Risk-Managed-EMA-Crossover-with-Bollinger-Bands-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
双RSI配合布林带的趋势追踪策略Dual-RSI-Combined-with-Bollinger-Band-for-Trend-Following.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
Bollinger带通道-RSI双线策略Bollinger-Band-RSI-Dual-Line-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
MACD-RSI交叉趋势跟踪策略结合布林带优化系统-MACD-RSI-Crossover-Trend-Following-Strategy-with-Bollinger-Bands-Optimization-System.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
多指标趋势动量交叉策略EMA双均线与MACDRSI协同信号系统-Multi-Indicator-Trend-Momentum-Crossover-Strategy-EMA-Dual-Moving-Average-with-MACD-RSI-Synergy-System.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
基于随机RSI和EMA交叉的加密货币回调交易策略Crypto-Pullback-Trading-Strategy-Based-on-Stochastic-RSI-and-EMA-Crossover.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
EMA交叉与布林带双重入场策略结合趋势跟踪与波动突破的量化交易系统EMA-Crossover-with-Bollinger-Bands-Double-Entry-Strategy-A-Quantitative-Trading-System-Combining-Trend-Following-and-Volatility-Breakout.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
基于相对强弱指数RSI和滑动平均SMA的波动率标准差DEV交易策略-Standard-Deviation-DEV-Trading-Strategy-Based-on-Relative-Strength-Index-RSI-and-Simple-Moving-Average-SMA.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
均线穿越与布林带突破策略Moving-Average-Breakout-and-Bollinger-Band-Breakout-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
多指标合成多维决策交易系统-基于RSIMACD布林带成交量及趋势的量化策略-Multi-Indicator-Composite-Multi-Dimensional-Decision-Trading-System-A-Quantitative-Strategy-Based-on-RSI-MACD-Bollinger-Bands-Volume-and-Trend.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
多指标趋势动量融合策略-RSI-MACD-双重超趋势跟踪系统-Multi-Indicator-Trend-Momentum-Fusion-Strategy-RSI-MACD-Dual-Supertrend-Tracking-System.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
RSI指标与平均线交叉策略Relative-Strength-Index-and-Moving-Average-Crossover-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
融合布林带与RSI的动态多指标交易策略-Dynamic-Multi-Indicator-Trading-Strategy-Combining-Bollinger-Bands-and-RSI.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
波林格带和EMA趋势跟踪策略-Bollinger-Bands-and-EMA-Trend-Following-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
均线突破布林带策略Moving-Average-Bollinger-Bands-Breakout-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
自适应波段突破结合均线交叉量化策略系统-Adaptive-Bollinger-Breakout-with-Moving-Average-Quantitative-Strategy-System.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
均线动态趋势跟踪与RSI-ADX复合指标交易策略-Dynamic-Moving-Average-Trend-Following-Strategy-with-RSI-ADX-Composite-Indicators.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
RSI和布林带双重策略RSI-and-Bollinger-Bands-Double-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
MACD-BB-波段突破策略-MACD-BB-Breakout-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
基于RSI2的动态突破交易策略结合移动平均线过滤系统-RSI2-Based-Dynamic-Breakout-Trading-Strategy-with-Moving-Average-Filter-System.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
多时间周期RSI-SMA动态交叉自适应交易系统-Multi-Timeframe-RSI-SMA-Dynamic-Crossover-Adaptive-Trading-System.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
多指标交叉动量趋势追踪策略Hull与EMA结合RSI和双重随机震荡器的量化交易系统-Multi-Indicator-Crossover-Momentum-Trend-Following-Strategy-Quantitative-Trading-System-Combining-Hull-with-EMA-RSI-and-Dual-Stochastic-Oscillators.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
MACD和EMA金叉死叉策略MACD-and-EMA-Crossover-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
双均线交叉结合RSI动量优化交易策略-Dual-Moving-Average-Crossover-with-RSI-Momentum-Enhancement-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
双BB指标RSI量化交易策略Flawless-Victory-Quantitative-Trading-Strategy-Based-on-Double-BB-Indicators-and-RSI.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
MACD-TEMA-交叉策略-MACD-TEMA-Crossover-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
基于布林带移动平均线和相对强弱指数的短线交易策略-Short-Term-Trading-Strategy-Based-on-Bollinger-Bands-Moving-Average-and-RSI.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
季节范围均线RSI策略Seasonal-Range-Moving-Average-RSI-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
基于RSI和MACD指标的交易策略Trading-Strategy-Based-on-RSI-and-MACD-Indicators.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
基于移动平均线均回复策略Based-on-the-Moving-Average-Reversion-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
RSI与布林带双重策略RSI-and-Bollinger-Bands-Dual-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
双均线RSI趋势发散策略基于指数移动平均和相对强弱的趋势捕捉系统-Dual-EMA-RSI-Divergence-Strategy-A-Trend-Capture-System-Based-on-Exponential-Moving-Average-and-Relative-Strength.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
MACD-RSI-一目均衡Ichimoku动量趋势多头策略-MACD-RSI-Ichimoku-Momentum-Trend-Following-Long-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
多因子均值回归策略结合随机相对强弱指标与布林带的均值回归交易系统-Multi-Factor-Mean-Reversion-Strategy-A-Mean-Reversion-Trading-System-Combining-Stochastic-RSI-and-Bollinger-Bands.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
基于均线的布林带短线反转量化策略Bollinger-Band-Short-term-Reversion-Quantitative-Strategy-Based-on-Moving-Average.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
基于21日EMA成交量和RSI的趋势动量策略Trend-Momentum-Strategy-Based-on-21-EMA-Volume-and-RSI.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
多时间周期动量协同交易策略-融合EMA-MA-RSI的量化交易系统-Multi-Timeframe-Momentum-Convergence-Trading-System-Integrating-EMA-MA-RSI-for-Quantitative-Market-Analysis.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
基于EMA均线和MACD指标的趋势跟踪策略EMA-Crossover-and-MACD-Signals-Trend-Following-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
基于EMA与趋势线突破的双均线-RSI-动量策略-Dual-Moving-Average-RSI-Momentum-Strategy-Based-on-EMA-and-Trendline-Breakouts.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
RSI-Divergence-with-Pivot-BB-SMA-EMA-SMMA-WMA-VWMA.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
动态均线与MACD交叉策略Dynamic-EMA-and-MACD-Crossover-Strategy.md,variant_or_duplicate,multi_indicator_combo,multi-indicator-combo-2026-08-31.md
